subdomain,url,count
fyidocs,https://classic.classic.svc.cluster.local/api/v2/internal/collaboration/tickets/84512/permission_check,1
fyidocs,https://classic.classic.svc.cluster.local/api/v2/internal/collaboration/tickets/84514/permission_check,1
fyidocs,https://classic.classic.svc.cluster.local/api/v2/organizations/361328399772,1
fyidocs,https://classic.classic.svc.cluster.local/api/v2/requests/84447.json,1
fyidocs,https://classic.classic.svc.cluster.local/api/v2/users/,1
fyidocs,https://classic.classic.svc.cluster.local/api/v2/zen:user//relationship_fields/30111152544793/zen:ticket,11
fyidocs,https://fyidocs.zendesk.com/access/login,3
fyidocs,https://fyidocs.zendesk.com/api/v2/account/features/jig_field_sync_kill_switch/status,2
fyidocs,https://fyidocs.zendesk.com/api/v2/incremental/tickets/cursor,15
fyidocs,https://fyidocs.zendesk.com/api/v2/organization_fields.json,2813
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations.json,28
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/10002764104345.json,3
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/10027982091161.json,18
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/10033450335769.json,7
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/10099865907993.json,1
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/10109303285401.json,4
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/10191430708377.json,5
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/10446296567961.json,166
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/10486090604697.json,1
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/10665703350681.json,1
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/10703722974233.json,1
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/10912421386265.json,1
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/11085718857497.json,2
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/11213064705817.json,1
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/11633303296153.json,1
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/11683969932953.json,15
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/11894289111961.json,2
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/11943817660313.json,5
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/12009622440985.json,7
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/12394028916505.json,1
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/12502139231129.json,19
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/12595244544537.json,8
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/12626377685017.json,4
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/12626669890841.json,1
fyidocs,https://fyidocs.zendesk.com/api/v2/organizations/12807735462681.json,3
